File,Sort_Cat,Category,Sort_ID,Variable,Tool,Excel
Growth Accounts - statistical,1,Labour and capital services growth,6,CAPNIT_QI,"Non-ICT capital services, volume indices, 2010=100","Non-ICT capital services, volume indices, 2010=100"
Growth Accounts - statistical,1,Labour and capital services growth,7,CAPTang_QI,"Tangible capital services, volume indices, 2010=100","Tangible capital services, volume indices, 2010=100"
Growth Accounts - statistical,1,Labour and capital services growth,8,CAPIntang_QI,"Intangible capital services, volume indices, 2010=100","Intangible capital services, volume indices, 2010=100"
Growth Accounts - statistical,2,Contributions to value added growth,1,VA_G,"Growth rate of value added volume, %, log","Growth rate of value added (VA) volume, %, log"
Growth Accounts - statistical,2,Contributions to value added growth,2,VAConH,"Hours worked, p.p.","Contribution of hours worked to VA growth, p.p."
Growth Accounts - statistical,2,Contributions to value added growth,3,VAConLC,"Labour composition change, p.p.","Contribution of labour composition change to VA growth, p.p."
Growth Accounts - statistical,2,Contributions to value added growth,4,VAConTangNICT,"Tangible non-ICT capital services, p.p.","Contribution of tangible non-ICT capital services to VA growth, p.p."
Growth Accounts - statistical,2,Contributions to value added growth,5,VAConTangICT,"Tangible ICT capital services, p.p.","Contribution of tangible ICT capital services to VA growth, p.p."
Growth Accounts - statistical,2,Contributions to value added growth,6,VAConIntangSoftDB,"Intangible Software and databases capital services, p.p.","Contribution of intangible Software and databases capital services to VA growth, p.p."
Growth Accounts - statistical,2,Contributions to value added growth,7,VAConIntangRD,"Intangible R&D capital services, p.p.","Contribution of intangible R&D capital services to VA growth, p.p."
Growth Accounts - statistical,2,Contributions to value added growth,8,VAConIntangOIPP,"Intangible other intellectual property products (OIPP) capital services, p.p.","Contribution of intangible other intellectual property products (OIPP) capital services to VA growth, p.p."
Growth Accounts - statistical,2,Contributions to value added growth,9,VAConTFP,"TFP, p.p.","Contribution of TFP to VA growth, p.p."
Growth Accounts - statistical,2,Contributions to value added growth,10,VATFP_I,"TFP index, 2010=100","TFP (VA based) index, 2010=100"
Growth Accounts - statistical,3,Contributions to value added per hour worked growth,1,LP1_G,"Growth rate of value added per hour worked, %, log","Growth rate of value added (VA) per hour worked, %, log"
Growth Accounts - statistical,3,Contributions to value added per hour worked growth,2,LP1ConLC,"Labour composition change, p.p.","Contribution of labour composition change to VA per hour worked growth, p.p."
Growth Accounts - statistical,3,Contributions to value added per hour worked growth,3,LP1ConTangNICT,"Tangible non-ICT capital services, p.p.","Contribution of tangible non-ICT capital services to VA per hour worked growth, p.p."
Growth Accounts - statistical,3,Contributions to value added per hour worked growth,4,LP1ConTangICT,"Tangible ICT capital services, p.p.","Contribution of tangible ICT capital services to VA per hour worked growth, p.p."
Growth Accounts - statistical,3,Contributions to value added per hour worked growth,5,LP1ConIntangSoftDB,"Intangible Software and databases capital services, p.p.",Contribution of intangible Software and databases capital services to VA per hour worked growth. p.p.
Growth Accounts - statistical,3,Contributions to value added per hour worked growth,6,LP1ConIntangRD,"Intangible R&D capital services, p.p.",Contribution of intangible R&D capital services to VA per hour worked growth. p.p.
Growth Accounts - statistical,3,Contributions to value added per hour worked growth,7,LP1ConIntangOIPP,"Intangible other intellectual property products (OIPP) capital services, p.p.","Contribution of intangible other intellectual property products (OIPP) capital services to VA per hour worked growth, p.p."
Growth Accounts - statistical,3,Contributions to value added per hour worked growth,8,LP1ConTFP,"TFP, p.p.","Contribution of TFP to VA per hour worked growth, p.p."
Growth Accounts - statistical,3,Contributions to value added per hour worked growth,9,LP1TFP_I,"TFP index, 2010=100","TFP (VA per hour worked based) index, 2010=100"
Growth Accounts - statistical,4,Contributions to value added per person employed growth,1,LP2_G,"Growth rate of value added per person employed, %, log","Growth rate of value added (VA) per person employed, %, log"
Growth Accounts - statistical,4,Contributions to value added per person employed growth,2,LP2ConLC,"Labour composition change, p.p.","Contribution of labour composition change to VA per person employed growth, p.p."
Growth Accounts - statistical,4,Contributions to value added per person employed growth,3,LP2ConLHE,"Hours worked per person employed, p.p.","Contribution of hours worked per person employed to VA per person employed growth, p.p."
Growth Accounts - statistical,4,Contributions to value added per person employed growth,4,LP2ConTangNICT,"Tangible non-ICT capital services, p.p.","Contribution of tangible non-ICT capital services to VA per person employed growth, p.p."
Growth Accounts - statistical,4,Contributions to value added per person employed growth,5,LP2ConTangICT,"Tangible ICT capital services, p.p.","Contribution of tangible ICT capital services to VA per person employed growth, p.p."
Growth Accounts - statistical,4,Contributions to value added per person employed growth,6,LP2ConIntangSoftDB,"Intangible Software and databases capital services, p.p.","Contribution of intangible Software and databases capital services to VA per person employed growth, p.p."
Growth Accounts - statistical,4,Contributions to value added per person employed growth,7,LP2ConIntangRD,"Intangible R&D capital services, p.p.","Contribution of intangible R&D capital services to VA per person employed growth, p.p."
Growth Accounts - statistical,4,Contributions to value added per person employed growth,8,LP2ConIntangOIPP,"Intangible other intellectual property products (OIPP) capital services, p.p.","Contribution of intangible other intellectual property products (OIPP) capital services to VA per person employed growth, p.p."
Growth Accounts - statistical,4,Contributions to value added per person employed growth,9,LP2ConTFP,"TFP, p.p.","Contribution of TFP to VA per person employed growth, p.p."
Growth Accounts - statistical,4,Contributions to value added per person employed growth,10,LP2TFP_I,"TFP index, 2010=100","TFP (VA per person employed based) index, 2010=100"
Intangibles (suppl.) - analytical,1,"GFCF intangibles (suppl.), current prices, NAC mn",1,I_AdvMRes,"Advertising, market research and branding","GFCF intangibles (suppl.), Advertising, market research and branding, current prices, NAC mn"
Intangibles (suppl.) - analytical,1,"GFCF intangibles (suppl.), current prices, NAC mn",2,I_Design,Design and other product developments,"GFCF intangibles (suppl.), Design and other product developments, current prices, NAC mn"
Intangibles (suppl.) - analytical,1,"GFCF intangibles (suppl.), current prices, NAC mn",3,I_POCap,Purchased organisational capital,"GFCF intangibles (suppl.), Purchased organisational capital, current prices, NAC mn"
Intangibles (suppl.) - analytical,1,"GFCF intangibles (suppl.), current prices, NAC mn",4,I_VT,Vocational training,"GFCF intangibles (suppl.), Vocational training, current prices, NAC mn"
Intangibles (suppl.) - analytical,1,"GFCF intangibles (suppl.), current prices, NAC mn",5,I_OOCap,Own-account organisational capital,"GFCF intangibles (suppl.), Own-account organisational capital, current prices, NAC mn"
Intangibles (suppl.) - analytical,2,"GFCF intangibles (suppl.), prev.year prices, NAC mn",1,Ipyp_AdvMRes,"Advertising, market research and branding","GFCF intangibles (suppl.), Advertising, market research and branding, prev.year prices, NAC mn"
Intangibles (suppl.) - analytical,2,"GFCF intangibles (suppl.), prev.year prices, NAC mn",2,Ipyp_Design,Design and other product developments,"GFCF intangibles (suppl.), Design and other product developments, prev.year prices, NAC mn"
Intangibles (suppl.) - analytical,2,"GFCF intangibles (suppl.), prev.year prices, NAC mn",3,Ipyp_POCap,Purchased organisational capital,"GFCF intangibles (suppl.), Purchased organisational capital, prev.year prices, NAC mn"
Intangibles (suppl.) - analytical,2,"GFCF intangibles (suppl.), prev.year prices, NAC mn",4,Ipyp_VT,Vocational training,"GFCF intangibles (suppl.), Vocational training, prev.year prices, NAC mn"
Intangibles (suppl.) - analytical,2,"GFCF intangibles (suppl.), prev.year prices, NAC mn",5,Ipyp_OOCap,Own-account organisational capital,"GFCF intangibles (suppl.), Own-account organisational capital, prev.year prices, NAC mn"
Intangibles (suppl.) - analytical,3,"GFCF intangibles (suppl.), volume 2010 ref.prices, NAC mn",1,Iq_AdvMRes,"Advertising, market research and branding","GFCF intangibles (suppl.), Advertising, market research and branding, volume 2010 ref.prices, NAC mn"
Intangibles (suppl.) - analytical,3,"GFCF intangibles (suppl.), volume 2010 ref.prices, NAC mn",2,Iq_Design,Design and other product developments,"GFCF intangibles (suppl.), Design and other product developments, volume 2010 ref.prices, NAC mn"
Intangibles (suppl.) - analytical,3,"GFCF intangibles (suppl.), volume 2010 ref.prices, NAC mn",3,Iq_POCap,Purchased organisational capital,"GFCF intangibles (suppl.), Purchased organisational capital, volume 2010 ref.prices, NAC mn"
Intangibles (suppl.) - analytical,3,"GFCF intangibles (suppl.), volume 2010 ref.prices, NAC mn",4,Iq_VT,Vocational training,"GFCF intangibles (suppl.), Vocational training, volume 2010 ref.prices, NAC mn"
Intangibles (suppl.) - analytical,3,"GFCF intangibles (suppl.), volume 2010 ref.prices, NAC mn",5,Iq_OOCap,Own-account organisational capital,"GFCF intangibles (suppl.), Own-account organisational capital, volume 2010 ref.prices, NAC mn"
Intangibles (suppl.) - analytical,4,"GFCF intangibles (suppl.), price indices, 2010=100",1,Ip_AdvMRes,"Advertising, market research and branding","GFCF intangibles (suppl.), Advertising, market research and branding, price indices, 2010=100"
Intangibles (suppl.) - analytical,4,"GFCF intangibles (suppl.), price indices, 2010=100",2,Ip_Design,Design and other product developments,"GFCF intangibles (suppl.), Design and other product developments, price indices, 2010=100"
Intangibles (suppl.) - analytical,4,"GFCF intangibles (suppl.), price indices, 2010=100",3,Ip_POCap,Purchased organisational capital,"GFCF intangibles (suppl.), Purchased organisational capital, price indices, 2010=100"
Intangibles (suppl.) - analytical,4,"GFCF intangibles (suppl.), price indices, 2010=100",4,Ip_VT,Vocational training,"GFCF intangibles (suppl.), Vocational training, price indices, 2010=100"
Intangibles (suppl.) - analytical,4,"GFCF intangibles (suppl.), price indices, 2010=100",5,Ip_OOCap,Own-account organisational capital,"GFCF intangibles (suppl.), Own-account organisational capital,  price indices, 2010=100"
Intangibles (suppl.) - analytical,5,"Capital stock intangibles (suppl.), curr.replac.costs, NAC mn",1,K_AdvMRes,"Advertising, market research and branding","Capital stock intangibles (suppl.), Advertising, market research and branding, curr.replac.costs, NAC mn"
Intangibles (suppl.) - analytical,5,"Capital stock intangibles (suppl.), curr.replac.costs, NAC mn",2,K_Design,Design and other product developments,"Capital stock intangibles (suppl.), Design and other product developments, curr.replac.costs, NAC mn"
Intangibles (suppl.) - analytical,5,"Capital stock intangibles (suppl.), curr.replac.costs, NAC mn",3,K_POCap,Purchased organisational capital,"Capital stock intangibles (suppl.), Purchased organisational capital, curr.replac.costs, NAC mn"
Intangibles (suppl.) - analytical,5,"Capital stock intangibles (suppl.), curr.replac.costs, NAC mn",4,K_VT,Vocational training,"Capital stock intangibles (suppl.), Vocational training, curr.replac.costs, NAC mn"
Intangibles (suppl.) - analytical,5,"Capital stock intangibles (suppl.), curr.replac.costs, NAC mn",5,K_OOCap,Own-account organisational capital,"Capital stock intangibles (suppl.), Own-account organisational capital, curr.replac.costs, NAC mn"
Intangibles (suppl.) - analytical,6,"Capital stock intangibles (suppl.), prev.year replac.costs, NAC mn",1,Kpyp_AdvMRes,"Advertising, market research and branding","Capital stock intangibles (suppl.), Advertising, market research and branding, prev.year replac.costs, NAC mn"
Intangibles (suppl.) - analytical,6,"Capital stock intangibles (suppl.), prev.year replac.costs, NAC mn",2,Kpyp_Design,Design and other product developments,"Capital stock intangibles (suppl.), Design and other product developments, prev.year replac.costs, NAC mn"
Intangibles (suppl.) - analytical,6,"Capital stock intangibles (suppl.), prev.year replac.costs, NAC mn",3,Kpyp_POCap,Purchased organisational capital,"Capital stock intangibles (suppl.), Purchased organisational capital, prev.year replac.costs, NAC mn"
Intangibles (suppl.) - analytical,6,"Capital stock intangibles (suppl.), prev.year replac.costs, NAC mn",4,Kpyp_VT,Vocational training,"Capital stock intangibles (suppl.), Vocational training, prev.year replac.costs, NAC mn"
Intangibles (suppl.) - analytical,6,"Capital stock intangibles (suppl.), prev.year replac.costs, NAC mn",5,Kpyp_OOCap,Own-account organisational capital,"Capital stock intangibles (suppl.), Own-account organisational capital, prev.year replac.costs, NAC mn"
Intangibles (suppl.) - analytical,7,"Capital stock intangibles (suppl.), volume 2010 ref.prices, NAC mn",1,Kq_AdvMRes,"Advertising, market research and branding","Capital stock intangibles (suppl.), Advertising, market research and branding, volume 2010 ref.prices, NAC mn"
Intangibles (suppl.) - analytical,7,"Capital stock intangibles (suppl.), volume 2010 ref.prices, NAC mn",2,Kq_Design,Design and other product developments,"Capital stock intangibles (suppl.), Design and other product developments, volume 2010 ref.prices, NAC mn"
Intangibles (suppl.) - analytical,7,"Capital stock intangibles (suppl.), volume 2010 ref.prices, NAC mn",3,Kq_POCap,Purchased organisational capital,"Capital stock intangibles (suppl.), Purchased organisational capital, volume 2010 ref.prices, NAC mn"
